Circumferencial and Radial Road,CAR,PUJ,UV,TAXI,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,24747,7269,727,1678,593,666,115,49046,2190,87391
MENDOZA,57755,11,11,3,6,706,1218,74200,1922,145235
PRES. QUIRINO AVE.,17916,727,727,106,593,706,1251,88445,2420,177881
ARANETA AVE.,27282,45,11,15,6,706,1251,88445,2420,132222
EDSA,216934,1470,2504,1051,3824,2533,510,164673,2150,407342
C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,121047,614,1482,313,1346,864,408,102418,1324,238595
ROXAS BLVD.,79313,9888,2986,8112,1625,2505,1074,80590,541,190184
TAFT AVE.,47642,3041,1482,3533,1456,2185,1456,70701,715,143034
SSH,87693,224,42,64,944,754,2644,72308,535,176207
SHAW BLVD.,63422,2528,1599,5414,1314,1220,633,62706,120,132332
ORTIGAS AVE.,35401,5677,1634,6626,1989,1506,674,40852,126,78987
MAGAYSAY BLVD.,52884,7597,1576,4473,1656,1780,841,59828,213,137916
AURORA BLVD.,113468,8592,1632,6855,2565,2512,1344,97644,571,243183
QUEZON AVE.,139685,5897,896,5539,1895,2011,928,96800,420,254556
COMMONWEALTH AVE.,198163,15556,5353,14632,4088,9070,5397,159594,1571,407497
A. BONIFACIO,44888,3488,1594,3097,901,3901,947,37243,219,91694
RIZAL AVE.,31634,8454,2783,2829,2468,3602,694,42719,1615,140615
DEL PAN,26075,4569,483,329,219,551,38,29519,114,61847
MARCOS HIGHWAY,110378,9858,3546,4402,1208,3576,348,108786,486,243586
MCARTHUR HIGHWAY,32007,1681,1161,964,884,385,257,39487,237,121643
