City,10 Digit Code,Correspondence Code,Income Class,Population (2020 Census)
KalookanCity,1380100000,137501000,1st,1661584
LasPiñas,1380200000,137601000,1st,606293
MakatiCity,1380300000,137602000,1st,629616
Malabon,1380400000,137502000,1st,380522
Mandaluyong,1380500000,137401000,1st,425758
Manila,1380600000,133900000,Special,1846131
Marikina,1380700000,137402000,1st,456059
Muntinlupa,1380800000,137603000,1st,543445
Navotas	,1380900000,137503000,2nd,247543
Parañaque,1376040000,137604000,1st,689992
PasayCity,1381100000,137605000,1st,440656
PasigCity,1374030000,137403000,1st,803159
QuezonCity,1374040000,137404000,Special,2960048
SanJuan,1374050000,137405000,1st,126347
Taguig,1376070000,137607000,1st,886722
Valenzuela,1375050000,137504000,1st,714978
